ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;7;7;15;Q2;QQ3;PORTAL;1;16;8774
2021;7;7;18;Q2;QQ4;PORTAL;5;81,2;8996,2
2021;7;8;14;Q2;QQ3;PORTAL;2;226;2997,5
2021;7;9;16;Q2;QQ3;PORTAL;9;71,56;12784,33
2021;7;12;10;Q1;QQ1;PORTAL;3;54,33;655
2021;7;12;13;Q1;QQ2;PORTAL;1;57;1727
2021;1;7;17;Q2;QQ4;PORTAL;3;125848,67;94852
2021;1;8;16;Q2;QQ3;PORTAL;3;372,33;8835,67
2021;1;9;15;Q2;QQ3;PORTAL;1;87;76237
2021;1;11;13;Q1;QQ2;PORTAL;8;45154,25;2376,63
2021;1;12;12;Q1;QQ2;PORTAL;8;77,75;1994,75
2021;1;12;15;Q2;QQ3;PORTAL;4;569,75;1980,75
2021;1;13;11;Q1;QQ2;PORTAL;17;78,35;5863,53
2021;1;13;14;Q2;QQ3;PORTAL;1;169;79731
2021;1;13;17;Q2;QQ4;PORTAL;2;33,5;1044,5
2021;1;14;10;Q1;QQ1;PORTAL;12;501,25;1572,33
2021;1;15;9;Q1;QQ1;PORTAL;16;20857,13;25258,13
2021;1;15;12;Q1;QQ2;PORTAL;19;125423,79;162323,84
2021;1;15;15;Q2;QQ3;PORTAL;1;352227;11744
2021;1;15;18;Q2;QQ4;PORTAL;4;1219,25;10920,5
2021;1;16;14;Q2;QQ3;PORTAL;2;266,5;7547,5
2021;1;18;9;Q1;QQ1;PORTAL;2;134,5;953,5
2021;1;18;12;Q1;QQ2;PORTAL;6;12621,33;1957,17
2021;1;19;8;Q1;QQ1;PORTAL;4;332,75;106491,25
2021;1;19;11;Q1;QQ2;PORTAL;16;255,63;67795,13
2021;1;19;14;Q2;QQ3;PORTAL;1;28;384
2021;1;20;10;Q1;QQ1;PORTAL;3;663,67;936,67
2021;1;20;13;Q1;QQ2;PORTAL;2;79;2491
2021;1;21;6;NULL;NULL;PORTAL;2;297;33076
2021;1;21;9;Q1;QQ1;PORTAL;4;2496;22277,75
2021;1;21;12;Q1;QQ2;PORTAL;8;48548,63;3340,63
2021;1;22;8;Q1;QQ1;PORTAL;6;190,33;7474,67
2021;1;22;11;Q1;QQ2;PORTAL;6;70,5;1337,33
2021;1;26;7;Q1;QQ1;PORTAL;4;146;26746,25
2021;2;5;18;Q2;QQ4;PORTAL;5;70869,4;5498,2
2021;2;6;17;Q2;QQ4;PORTAL;6;57046,33;19455
2021;2;8;15;Q2;QQ3;PORTAL;9;10233,89;8686
2021;2;8;18;Q2;QQ4;PORTAL;4;138,75;1674,25
2021;2;9;14;Q2;QQ3;PORTAL;2;39,5;4741,5
2021;2;10;13;Q1;QQ2;PORTAL;3;208,33;796,33
2021;2;11;12;Q1;QQ2;PORTAL;6;61220,5;947,67
2021;2;11;15;Q2;QQ3;PORTAL;5;71367,6;8863,6
2021;2;11;18;Q2;QQ4;PORTAL;2;39;1609
2021;2;12;11;Q1;QQ2;PORTAL;7;30839,57;2108,29
2021;2;12;14;Q2;QQ3;PORTAL;5;32,6;6670,6
2021;2;12;17;Q2;QQ4;PORTAL;2;39;2393
2021;2;13;13;Q1;QQ2;PORTAL;1;300;600
2021;2;13;16;Q2;QQ3;PORTAL;1;25;80879
2021;2;14;12;Q1;QQ2;PORTAL;15;247,07;1978,73
2021;2;14;15;Q2;QQ3;PORTAL;3;51,67;29
2021;2;15;8;Q1;QQ1;PORTAL;1;300;600
2021;2;16;7;Q1;QQ1;PORTAL;4;66414,75;47594
2021;2;16;10;Q1;QQ1;PORTAL;4;19262,25;18329
2021;2;16;13;Q1;QQ2;PORTAL;7;300;600
2021;2;17;9;Q1;QQ1;PORTAL;5;42187,2;114587,2
2021;2;18;8;Q1;QQ1;PORTAL;4;5301,5;64876
2021;2;18;11;Q1;QQ2;PORTAL;11;91,45;29685,18
2021;2;19;10;Q1;QQ1;PORTAL;7;40610,71;24866,43
2021;2;19;13;Q1;QQ2;PORTAL;1;92;260
2021;2;22;7;Q1;QQ1;PORTAL;2;53872,5;46606,5
2021;2;22;10;Q1;QQ1;PORTAL;12;152,08;4744,25
2021;2;23;9;Q1;QQ1;PORTAL;12;1777,25;98888,08
2021;2;24;8;Q1;QQ1;PORTAL;14;6978,93;59717,93
2021;3;5;17;Q2;QQ4;PORTAL;3;110026,33;47233,33
2021;3;6;16;Q2;QQ3;PORTAL;2;257;9870
2021;3;9;16;Q2;QQ3;PORTAL;8;48344,63;1214,88
2021;3;9;19;Q2;QQ4;PORTAL;5;105287,8;94380,2
2021;3;10;12;Q1;QQ2;PORTAL;18;8933,06;9308,61
2021;3;10;18;Q2;QQ4;PORTAL;1;30;903
2021;3;10;21;NULL;NULL;PORTAL;7;171,14;12301,57
2021;3;11;11;Q1;QQ2;PORTAL;12;29443,67;2481,83
2021;3;11;17;Q2;QQ4;PORTAL;2;1397;6309
2021;3;12;10;Q1;QQ1;PORTAL;10;1460;9214,3
2021;3;12;13;Q1;QQ2;PORTAL;1;56;184503
